"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 04 19:25:00 ALMT 2024","Mon Mar 04 19:25:01 ALMT 2024","282","","tests.UserLoginTests","","tests.UserLoginTests","testLoginWithWrongCredentials","testLoginWithWrongCredentials",""
"passed","Mon Mar 04 19:24:59 ALMT 2024","Mon Mar 04 19:24:59 ALMT 2024","373","","tests.CreateUserTests","","tests.CreateUserTests","testCreateExistingUser","testCreateExistingUser",""
"passed","Mon Mar 04 19:25:04 ALMT 2024","Mon Mar 04 19:25:05 ALMT 2024","546","","tests.OrderTests","","tests.OrderTests","getOrderForAuthorizedUser","getOrderForAuthorizedUser",""
"passed","Mon Mar 04 19:25:01 ALMT 2024","Mon Mar 04 19:25:01 ALMT 2024","902","","tests.UpdateUserTest","","tests.UpdateUserTest","testUpdateUserNameWithAuthorization","testUpdateUserNameWithAuthorization",""
"passed","Mon Mar 04 19:25:01 ALMT 2024","Mon Mar 04 19:25:02 ALMT 2024","745","","tests.UpdateUserTest","","tests.UpdateUserTest","testUpdateUserEmailWithAuthorization","testUpdateUserEmailWithAuthorization",""
"passed","Mon Mar 04 19:24:55 ALMT 2024","Mon Mar 04 19:24:59 ALMT 2024","3702","","tests.CreateUserTests","","tests.CreateUserTests","testCreateUserWithMissingField","testCreateUserWithMissingField",""
"passed","Mon Mar 04 19:25:05 ALMT 2024","Mon Mar 04 19:25:06 ALMT 2024","1142","","tests.OrderTests","","tests.OrderTests","createOrderWithIngredients","createOrderWithIngredients",""
"passed","Mon Mar 04 19:24:59 ALMT 2024","Mon Mar 04 19:25:00 ALMT 2024","314","","tests.CreateUserTests","","tests.CreateUserTests","testCreateUniqueUser","testCreateUniqueUser",""
"passed","Mon Mar 04 19:25:02 ALMT 2024","Mon Mar 04 19:25:03 ALMT 2024","740","","tests.UpdateUserTest","","tests.UpdateUserTest","testUpdateUserNameWithoutAuthorization","testUpdateUserNameWithoutAuthorization",""
"passed","Mon Mar 04 19:25:07 ALMT 2024","Mon Mar 04 19:25:08 ALMT 2024","975","","tests.OrderTests","","tests.OrderTests","createOrderWithAuthorization","createOrderWithAuthorization",""
"passed","Mon Mar 04 19:25:06 ALMT 2024","Mon Mar 04 19:25:07 ALMT 2024","437","","tests.OrderTests","","tests.OrderTests","createOrderWithoutIngredients","createOrderWithoutIngredients",""
"passed","Mon Mar 04 19:25:04 ALMT 2024","Mon Mar 04 19:25:04 ALMT 2024","262","","tests.OrderTests","","tests.OrderTests","getOrderForUnauthorizedUser","getOrderForUnauthorizedUser",""
"passed","Mon Mar 04 19:25:03 ALMT 2024","Mon Mar 04 19:25:04 ALMT 2024","654","","tests.UpdateUserTest","","tests.UpdateUserTest","testUpdateUserEmailWithoutAuthorization","testUpdateUserEmailWithoutAuthorization",""
"skipped","Mon Mar 04 19:25:05 ALMT 2024","Mon Mar 04 19:25:05 ALMT 2024","0","","tests.OrderTests","","tests.OrderTests","createOrderWithoutAuthorization","createOrderWithoutAuthorization",""
"passed","Mon Mar 04 19:25:00 ALMT 2024","Mon Mar 04 19:25:00 ALMT 2024","461","","tests.UserLoginTests","","tests.UserLoginTests","testLoginWithExistingUser","testLoginWithExistingUser",""
"passed","Mon Mar 04 19:25:04 ALMT 2024","Mon Mar 04 19:25:04 ALMT 2024","475","","tests.OrderTests","","tests.OrderTests","createOrderWithInvalidIngredientHash","createOrderWithInvalidIngredientHash",""
